Date,101STM,102STM,103STM,104STM,105STM,106STM,107STM,108STM,109STM,110STM,115STM,116STM,117STM,WOR
2017-12-19,5058.610068,6494.146931,7029.520241,7187.299232,8942.234949,5487.310442,5816.495264,6446.925501,6384.655756,6533.016921,3919.203348,7306.312244,4104.784653,2.663578384
2017-12-20,5115.527543,6242.025295,6645.211264,6273.39421,9129.836812,5623.004319,5941.075893,5969.458719,6393.942914,6658.128262,4020.636312,7484.169416,4104.356953,2.739334875
2017-12-21,5583.844752,6479.835968,6227.530219,6141.763116,9016.540578,5547.305534,5877.802726,6017.572391,6406.067134,6593.28814,3963.531569,7396.456116,4090.422429,2.739338187
2017-12-22,6402.634424,6800.626456,6103.336755,7026.223421,8667.873137,5325.409489,5683.077494,6391.719807,6412.426457,6402.146094,3798.286824,7136.416532,4130.793971,2.702363726
2017-12-23,6826.586609,6965.154375,6052.870077,7247.091065,8550.484145,5276.327428,5626.264575,6121.833606,6275.366116,6403.00486,3761.493351,7073.932294,4221.878599,2.732635739
2017-12-24,6826.094056,7164.137509,6412.459258,7081.398555,7803.155699,4761.128108,5130.835093,5455.150071,6124.43672,6469.05745,3355.037737,6461.428324,4159.438963,2.688134648
2017-12-25,6925.575246,7227.457595,6796.621338,6605.940476,7518.067309,4540.170724,4910.366934,5123.919644,6118.569822,6742.32596,3173.542703,6231.853464,4057.427325,2.751631418
2017-12-26,7164.560887,7391.787236,7069.321305,7059.692368,6935.07793,4084.2938,4515.294774,4696.900607,6124.302265,6551.272178,2848.995873,5730.080042,4072.168763,2.737995278
2017-12-27,7241.986437,7686.569275,7126.083904,7931.93783,5756.565078,3228.820629,3768.325722,4159.225423,6124.179016,6104.13297,2223.564262,4756.298646,4118.027667,2.698900046
2017-12-28,7030.913199,8023.92463,7010.512328,8189.946703,5632.730478,3135.396765,3682.674041,3917.602798,6247.797085,6125.411405,2158.93334,4692.41598,4123.278672,2.721411855
